Row ID,Order ID,Order Date,Date Key,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit,Profit Margin,Discount Effectiveness,Sales per Unit,Year,Month,Discount Level,Discount Effectiveness Level
16,APJ-2021-118983,2021-11-22,20211122,Emily Morrison,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,Enterprise,ContactMatcher,NRKT5R1A1G,2.544,3.0,0.5,-3.816,-1.5,-7.632,0.848,2021,11,High,Low
17,EMEA-2020-105893,2020-11-11,20201111,Claire Welch,Italy,Naples,EMEA,EU,Toyota Motor,1087,Manufacturing,SMB,Marketing Suite - Gold,K5XHYWZ1OV,498.93,6.0,0.0,13.3176,0.026692321568155854,0.0,83.155,2020,11,Low,Low
18,EMEA-2020-167164,2020-05-13,20200513,Carol Campbell,Turkey,Ankara,EMEA,MEA,Home Depot,1047,Retail,SMB,Marketing Suite - Gold,LWWKLPY4AU,55.5,2.0,0.0,9.99,0.18,0.0,27.75,2020,5,Low,Low
19,AMER-2020-143336,2020-08-27,20200827,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ChatBot Plugin,ZYL9KDTY68,8.56,2.0,0.0,2.4824,0.29,0.0,4.28,2020,8,Low,Low
20,AMER-2020-143336,2020-08-27,20200827,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,Site Analytics,I54O29EW1T,213.48,3.0,0.2,16.011,0.075,80.05499999999999,71.16,2020,8,Low,High
21,AMER-2020-143336,2020-08-27,20200827,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ContactMatcher,E3TF1V9DE8,22.72,4.0,0.2,7.384,0.325,36.92,5.68,2020,8,Low,High
22,AMER-2022-137330,2022-12-10,20221210,Melanie Sharp,Costa Rica,San José,AMER,LATAM,Carrefour,1048,Retail,Strategic,ChatBot Plugin,B83G92QX65,19.46,7.0,0.0,5.0596,0.25999999999999995,0.0,2.7800000000000002,2022,12,Low,Low
23,AMER-2022-137330,2022-12-10,20221210,Melanie Sharp,Costa Rica,San José,AMER,LATAM,Carrefour,1048,Retail,Strategic,OneView,VWDIYAB44Z,60.34,7.0,0.0,15.6884,0.25999999999999995,0.0,8.620000000000001,2022,12,Low,Low
24,EMEA-2023-156909,2023-07-17,20230717,Luke Bower,France,Paris,EMEA,EU-WEST,Costco Wholesale,1025,Retail,SMB,FinanceHub,AJOASBK55N,71.372,2.0,0.3,-1.0196,-0.014285714285714287,-3.398666666666667,35.686,2023,7,High,Low
25,EMEA-2021-106320,2021-09-25,20210925,Jonathan Ferguson,Turkey,Istanbul,EMEA,MEA,McKesson,1063,Consumer Products,SMB,ContactMatcher,P1I8X35CUZ,498.93,3.0,0.0,70.816875,0.14193749624195778,0.0,166.31,2021,9,Low,Low
26,AMER-2022-121755,2022-01-16,20220116,Sam Parsons,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,ContactMatcher,NRCR8EBL62,11.648,2.0,0.2,4.2224,0.36250000000000004,21.112000000000002,5.824,2022,1,Low,High
27,AMER-2022-121755,2022-01-16,20220116,Sam Parsons,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,Data Smasher,PV9U9D3A6O,90.57,3.0,0.0,11.7741,0.13,0.0,30.189999999999998,2022,1,Low,Low
28,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,Marketing Suite,F8G07TWQ17,498.93,7.0,0.5,-39.724125,-0.0796186338764957,-79.44825,71.27571428571429,2021,9,High,Low
29,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,BGL4P1U2CZ,9.618,2.0,0.5,-7.0532,-0.7333333333333334,-14.1064,4.809,2021,9,High,Low
30,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack,B5H6S070N8,124.2,3.0,0.2,15.525,0.125,77.625,41.4,2021,9,Low,High
31,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack - Gold,D9635UBJOG,3.264,2.0,0.2,1.1016,0.3375,5.507999999999999,1.632,2021,9,Low,High
32,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,6SQI2HAZ4C,86.304,6.0,0.2,9.7092,0.11249999999999999,48.54599999999999,14.384,2021,9,Low,High
33,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,GPQ0TDTGIM,6.858,6.0,0.5,-5.715,-0.8333333333333334,-11.43,1.143,2021,9,High,Low
34,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,4YZZHFC212,15.76,2.0,0.2,3.546,0.22499999999999998,17.729999999999997,7.88,2021,9,Low,High
35,APJ-2023-107727,2023-10-20,20231020,Amelia Campbell,Japan,Tokyo,APJ,JAPN,Glencore,1083,Misc,Enterprise,Support,77YXBOVGDH,29.472,3.0,0.2,9.9468,0.33749999999999997,49.733999999999995,9.824,2023,10,Low,High
36,APJ-2022-117590,2022-12-09,20221209,Chloe Short,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,Strategic,Site Analytics,GCT4GPUBVT,498.93,7.0,0.2,70.816875,0.14193749624195778,354.08437499999997,71.27571428571429,2022,12,Low,High
37,APJ-2022-117590,2022-12-09,20221209,Chloe Short,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,Strategic,SaaS Connector Pack,TKN9K1JO1D,190.92,5.0,0.5,-39.724125,-0.2080668604651163,-79.44825,38.184,2022,12,High,Low
38,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,SaaS Connector Pack - Gold,2F0NIUM5X9,113.328,9.0,0.2,35.415,0.3125,177.075,12.592,2021,12,Low,High
39,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Marketing Suite,FBXEM82WEZ,498.93,3.0,0.32,-39.724125,-0.0796186338764957,-124.137890625,166.31,2021,12,High,Low
40,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,FinanceHub,TS9MS0FQVU,212.058,3.0,0.3,-15.147,-0.07142857142857144,-50.49,70.68599999999999,2021,12,High,Low
41,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Site Analytics,HDJMRDRWK6,371.168,4.0,0.2,41.7564,0.1125,208.78199999999998,92.792,2021,12,Low,High
42,APJ-2023-120999,2023-09-11,20230911,Karen Mathis,Australia,Wollongong,APJ,ANZ,Pemex,1058,Energy,Strategic,Site Analytics,QINRKET2EK,147.168,4.0,0.2,16.5564,0.11249999999999999,82.782,36.792,2023,9,Low,High
43,AMER-2022-101343,2022-07-18,20220718,Dylan Dickens,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,Strategic,Marketing Suite - Gold,DFHNNSTX0P,77.88,2.0,0.0,3.894,0.05,0.0,38.94,2022,7,Low,Low
44,EMEA-2023-139619,2023-09-20,20230920,Sophie Lewis,Germany,Hanover,EMEA,EU-WEST,Samsung Electronics,1015,Tech,Strategic,Marketing Suite - Gold,616XTGD7Y3,95.616,2.0,0.2,9.5616,0.1,47.808,47.808,2023,9,Low,High
45,EMEA-2022-118255,2022-03-12,20220312,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,Data Smasher,F4GWWGL9KR,45.98,2.0,0.0,19.7714,0.43000000000000005,0.0,22.99,2022,3,Low,Low
46,EMEA-2022-118255,2022-03-12,20220312,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,ContactMatcher,JFCUNTQD5P,17.46,2.0,0.0,8.2062,0.47000000000000003,0.0,8.73,2022,3,Low,Low
47,AMER-2020-146703,2020-10-20,20201020,Katherine Dowd,Brazil,Salvador,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Marketing Suite - Gold,S2GUIRDRRI,211.96,4.0,0.0,8.4784,0.04,0.0,52.99,2020,10,Low,Low
48,APJ-2022-169194,2022-06-21,20220621,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Data Smasher,2L5WUVH1UW,45.0,3.0,0.0,4.95,0.11,0.0,15.0,2022,6,Low,Low
49,APJ-2022-169194,2022-06-21,20220621,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Site Analytics,O0QZ4DQ2DW,21.8,2.0,0.0,6.104,0.27999999999999997,0.0,10.9,2022,6,Low,Low
50,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,ContactMatcher,4A8Q6U643K,38.22,6.0,0.0,17.9634,0.47000000000000003,0.0,6.37,2021,4,Low,Low
51,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,N3660I16OB,75.18,6.0,0.0,35.3346,0.47,0.0,12.530000000000001,2021,4,Low,Low
52,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,SaaS Connector Pack,DU3DC8HDNW,6.16,2.0,0.0,2.9568,0.48,0.0,3.08,2021,4,Low,Low
53,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,SCMV1FUA1Z,89.99,1.0,0.0,17.0981,0.19,0.0,89.99,2021,4,Low,Low
54,EMEA-2022-105816,2022-12-12,20221212,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Storage,5JTHBK78DZ,15.26,7.0,0.0,6.2566,0.41,0.0,2.18,2022,12,Low,Low
55,EMEA-2022-105816,2022-12-12,20221212,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Site Analytics,JPNWB3X2PG,498.93,5.0,0.0,70.816875,0.14193749624195778,0.0,99.786,2022,12,Low,Low
56,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Marketing Suite - Gold,RI8MDZ0Y3A,208.56,6.0,0.0,52.14,0.25,0.0,34.76,2022,6,Low,Low
57,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,TA8D5XDFPN,32.4,5.0,0.0,15.552,0.48,0.0,6.4799999999999995,2022,6,Low,Low
58,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,FinanceHub,9QD1V31VWF,319.41,5.0,0.1,7.098,0.02222222222222222,70.97999999999999,63.882000000000005,2022,6,Low,High
59,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,NKEOT3DP5L,14.56,2.0,0.0,6.9888,0.48,0.0,7.28,2022,6,Low,Low
60,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Data Smasher,I8M069JA80,30.0,2.0,0.0,3.3,0.11,0.0,15.0,2022,6,Low,Low
61,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ContactMatcher,3N1DY2AIMD,48.48,4.0,0.2,16.362,0.33749999999999997,81.80999999999999,12.12,2022,6,Low,High
62,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ChatBot Plugin,MBZM7LCSK4,1.68,1.0,0.0,0.84,0.5,0.0,1.68,2022,6,Low,Low
63,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Data Smasher,LMJYGCZAFV,13.98,2.0,0.0,6.1512,0.44,0.0,6.99,2021,11,Low,Low
64,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,ContactMatcher,MVEQDJNPR2,25.824,6.0,0.2,9.3612,0.3625,46.806,4.304,2021,11,Low,High
65,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Support,OLS0NNZ15B,146.73,3.0,0.0,68.9631,0.47000000000000003,0.0,48.91,2021,11,Low,Low
66,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,SaaS Connector Pack,84GUTTZTC0,79.76,4.0,0.0,22.3328,0.27999999999999997,0.0,19.94,2021,11,Low,Low
67,APJ-2021-164175,2021-04-30,20210430,Eric McLean,Australia,Sydney,APJ,ANZ,Abbott Laboratories,1001,Healthcare,Enterprise,FinanceHub,6QHQUNX985,213.115,5.0,0.3,-15.2225,-0.07142857142857142,-50.74166666666667,42.623000000000005,2021,4,High,Low
68,AMER-2020-106376,2020-12-05,20201205,Leah Clarkson,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,Strategic,ChatBot Plugin,91D0JN8T6U,498.93,8.0,0.2,70.816875,0.14193749624195778,354.08437499999997,62.36625,2020,12,Low,High
69,AMER-2020-106376,2020-12-05,20201205,Leah Clarkson,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,Strategic,Site Analytics,6NQZXRTE33,167.968,4.0,0.2,62.988,0.375,314.94,41.992,2020,12,Low,High
70,EMEA-2022-119823,2022-06-05,20220605,Alison Davidson,Spain,Madrid,EMEA,EU-WEST,Fannie Mae,1035,Finance,SMB,Support,JH2K4261IC,75.88,2.0,0.0,35.6636,0.4700000000000001,0.0,37.94,2022,6,Low,Low
71,EMEA-2022-106075,2022-09-19,20220919,Sophie Vance,United Kingdom,London,EMEA,UKIR,Aetna,1002,Healthcare,SMB,ContactMatcher,5MAZAYKQ5U,4.616,1.0,0.2,1.731,0.37500000000000006,8.655,4.616,2022,9,Low,High
72,AMER-2023-114440,2023-09-15,20230915,Neil Gill,Brazil,Rio de Janeiro,AMER,LATAM,Intel,1051,Tech,SMB,Support,K4O1D2NXHZ,19.05,3.0,0.0,8.763,0.45999999999999996,0.0,6.3500000000000005,2023,9,Low,Low
73,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,FinanceHub,NPQNQFYUUU,498.93,8.0,0.2,-39.724125,-0.0796186338764957,-198.620625,62.36625,2021,4,Low,Low
74,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,SaaS Connector Pack,D0Z9FZR0JL,97.04,2.0,0.2,1.213,0.0125,6.065,48.52,2021,4,Low,High
75,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,Marketing Suite - Gold,X15ND79M8Q,72.784,1.0,0.2,-18.196,-0.25,-90.98,72.784,2021,4,Low,Low
76,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,ContactMatcher,A4VC3VGTLE,1.248,3.0,0.5,-1.9344,-1.5499999999999998,-3.8688,0.416,2023,12,High,Low
77,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,SaaS Connector Pack,IR30G9I4WJ,9.708,3.0,0.5,-5.8248,-0.6,-11.6496,3.236,2023,12,High,Low
78,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,Marketing Suite - Gold,PGTVTGM7XI,27.24,3.0,0.2,2.724,0.10000000000000002,13.620000000000001,9.08,2023,12,Low,High
79,APJ-2020-147606,2020-11-26,20201126,Anne Lee,Japan,Tokyo,APJ,JAPN,Oracle,1072,Tech,SMB,SaaS Connector Pack,JQHP8C8VXP,19.3,5.0,0.5,-14.475,-0.75,-28.95,3.8600000000000003,2020,11,High,Low
80,EMEA-2022-127208,2022-06-13,20220613,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,OneView,1I3JIURUQR,208.16,1.0,0.0,56.2032,0.27,0.0,208.16,2022,6,Low,Low
81,EMEA-2022-127208,2022-06-13,20220613,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,ContactMatcher,0UHOHNAAAD,16.74,3.0,0.0,8.0352,0.48000000000000004,0.0,5.579999999999999,2022,6,Low,Low
82,AMER-2020-139451,2020-10-12,20201012,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,ChatBot Plugin,920M0N09EE,14.9,5.0,0.0,4.172,0.27999999999999997,0.0,2.98,2020,10,Low,Low
83,AMER-2020-139451,2020-10-12,20201012,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,Marketing Suite - Gold,9SVF10L0F3,21.39,1.0,0.0,6.2031,0.29,0.0,21.39,2020,10,Low,Low
84,EMEA-2021-149734,2021-09-03,20210903,Jessica Buckland,Sweden,Uppsala,EMEA,NOR,Itochu,1032,Finance,Strategic,SaaS Connector Pack - Gold,CFUHIDO1WY,200.984,7.0,0.2,62.8075,0.3125,314.03749999999997,28.712,2021,9,Low,High
85,APJ-2023-119662,2023-11-14,20231114,Bernadette Nolan,Australia,Sydney,APJ,ANZ,Royal Dutch Shell,1031,Energy,Enterprise,Marketing Suite - Gold,CUL2MB77E0,230.376,3.0,0.2,-39.724125,-0.172431698614439,-198.620625,76.792,2023,11,Low,Low
86,AMER-2023-140088,2023-05-29,20230529,Katherine Dowd,Colombia,Bogotá,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,FinanceHub,RBNGNEEYS9,301.96,2.0,0.0,33.2156,0.11000000000000001,0.0,150.98,2023,5,Low,Low
87,EMEA-2023-155558,2023-10-27,20231027,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,Data Smasher,W731G6G61K,19.99,1.0,0.0,6.7966,0.34,0.0,19.99,2023,10,Low,Low
88,EMEA-2023-155558,2023-10-27,20231027,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,FinanceHub,A3HQUY156G,6.16,2.0,0.0,2.9568,0.48,0.0,3.08,2023,10,Low,Low
89,APJ-2022-159695,2022-04-06,20220406,William Lewis,Japan,Tokyo,APJ,JAPN,Fannie Mae,1035,Finance,Enterprise,Marketing Suite - Gold,45JXXNYX5W,158.368,7.0,0.2,13.8572,0.08750000000000001,69.286,22.624,2022,4,Low,High
90,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,ChatBot Plugin,AX50KL6AG9,20.1,3.0,0.0,6.633,0.32999999999999996,0.0,6.7,2022,9,Low,Low
91,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Site Analytics,S4CEY2GSVW,73.584,2.0,0.2,8.2782,0.11249999999999999,41.391,36.792,2022,9,Low,High
92,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Support,V86OBN8J1U,6.48,1.0,0.0,3.1104,0.4799999999999999,0.0,6.48,2022,9,Low,Low
93,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,Support,XJEFE2O3YF,12.96,2.0,0.0,6.2208,0.4799999999999999,0.0,6.48,2021,1,Low,Low
94,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,SaaS Connector Pack,5XEHT10HDW,53.34,3.0,0.0,16.5354,0.30999999999999994,0.0,17.78,2021,1,Low,Low
95,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,ContactMatcher,U40N63E6AK,32.96,2.0,0.0,16.1504,0.49000000000000005,0.0,16.48,2021,1,Low,Low
96,EMEA-2023-109484,2023-11-07,20231107,Peter Quinn,Belgium,Brussels,EMEA,EU-WEST,Walgreens,1095,Retail,Enterprise,ContactMatcher,VK1TWXDWUR,5.682,1.0,0.5,-3.788,-0.6666666666666666,-7.576,5.682,2023,11,High,Low
97,EMEA-2023-161018,2023-11-10,20231110,Max Marshall,United Kingdom,London,EMEA,UKIR,Boeing,1014,Manufacturing,Enterprise,SaaS Connector Pack,UFEXZDF5TK,96.53,7.0,0.0,40.5426,0.42,0.0,13.790000000000001,2023,11,Low,Low
98,AMER-2023-157833,2023-06-18,20230618,Jan Watson,United States,Los Angeles,AMER,NAMER,Valero Energy,1093,Energy,SMB,ContactMatcher,GJFN2RJA9U,51.312,3.0,0.2,17.9592,0.35,89.79599999999999,17.104,2023,6,Low,High
99,EMEA-2022-149223,2022-09-07,20220907,Carol Ball,Luxembourg,Luxembourg,EMEA,EU-WEST,Nestle,1089,Consumer Products,Strategic,OneView,PFLFDN3SOU,77.88,6.0,0.0,22.5852,0.29000000000000004,0.0,12.979999999999999,2022,9,Low,Low
100,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Support,2CWM52X1X9,64.624,7.0,0.2,22.6184,0.35000000000000003,113.092,9.232,2022,8,Low,High
101,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Data Smasher,LW1M6UDC4B,95.976,3.0,0.2,-10.7973,-0.1125,-53.9865,31.992,2022,8,Low,Low
102,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,ContactMatcher,WCITXGLF0J,1.788,3.0,0.5,-3.0396,-1.7,-6.0792,0.596,2022,8,High,Low
103,EMEA-2022-129903,2022-12-02,20221202,Penelope Peake,Luxembourg,Luxembourg,EMEA,EU-WEST,Trafigura Group,1100,Finance,SMB,Support,45EAEXTILE,23.92,4.0,0.0,11.7208,0.49,0.0,5.98,2022,12,Low,Low
